Iran (Islamic Republic of),Variable Name,Year,Value,Symbol
543,Harvested irrigated temporary crop area: Fodder,2007,878.2,I
544,Harvested irrigated temporary crop area: Fodder,2012,878.2,I
545,Harvested irrigated temporary crop area: Fodder,2017,878.2,I
546,Harvested irrigated temporary crop area: Fodder,2018,878.2,I
547,Harvested irrigated permanent crop area: Oil palm,1987,81.675,I
548,Harvested irrigated permanent crop area: Oil palm,1992,130.8625,I
549,Harvested irrigated permanent crop area: Oil palm,1997,140.7,I
550,Harvested irrigated permanent crop area: Oil palm,2002,140.7,I
551,Harvested irrigated permanent crop area: Oil palm,2007,140.7,I
552,Harvested irrigated permanent crop area: Oil palm,2012,140.7,I
553,Harvested irrigated permanent crop area: Oil palm,2017,140.7,I
554,Harvested irrigated permanent crop area: Oil palm,2018,140.7,I
555,Harvested irrigated temporary crop area: Soybeans,2007,56.59,I
556,Harvested irrigated temporary crop area: Soybeans,2012,56.59,I
557,Harvested irrigated temporary crop area: Soybeans,2017,56.59,I
558,Harvested irrigated temporary crop area: Soybeans,2018,56.59,I
559,Harvested irrigated temporary crop area: Groundnuts,2007,647.9,I
560,Harvested irrigated temporary crop area: Groundnuts,2012,647.9,I
561,Harvested irrigated temporary crop area: Groundnuts,2017,647.9,I
562,Harvested irrigated temporary crop area: Groundnuts,2018,647.9,I
563,Harvested irrigated temporary crop area: Sunflower,2007,77.78,I
564,Harvested irrigated temporary crop area: Sunflower,2012,77.78,I
565,Harvested irrigated temporary crop area: Sunflower,2017,77.78,I
566,Harvested irrigated temporary crop area: Sunflower,2018,77.78,I
567,Harvested irrigated temporary crop area: Flowers,2007,61.86,I
568,Harvested irrigated temporary crop area: Flowers,2012,61.86,I
569,Harvested irrigated temporary crop area: Flowers,2017,61.86,I
570,Harvested irrigated temporary crop area: Flowers,2018,61.86,I
571,Harvested irrigated temporary crop area: Other crops,1997,282.96,I
572,Harvested irrigated temporary crop area: Other crops,2002,150.16,I
573,Harvested irrigated temporary crop area: Other crops,2007,123.6,I
574,Harvested irrigated temporary crop area: Other crops,2012,123.6,I
575,Harvested irrigated temporary crop area: Other crops,2017,123.6,I
576,Harvested irrigated temporary crop area: Other crops,2018,123.6,I
577,Harvested irrigated permanent crop area: Other crops,1997,1276.0,I
578,Harvested irrigated permanent crop area: Other crops,2002,1091.0,I
579,Harvested irrigated permanent crop area: Other crops,2007,1054.0,I
580,Harvested irrigated permanent crop area: Other crops,2012,1054.0,I
581,Harvested irrigated permanent crop area: Other crops,2017,1054.0,I
582,Harvested irrigated permanent crop area: Other crops,2018,1054.0,I
