China,Variable Name,Year,Value,Symbol
553,Harvested irrigated temporary crop area: Sunflower,2007,315.0,I
554,Harvested irrigated temporary crop area: Sunflower,2012,315.0,I
555,Harvested irrigated temporary crop area: Sunflower,2017,315.0,I
556,Harvested irrigated temporary crop area: Sunflower,2018,315.0,I
557,Harvested irrigated temporary crop area: Sesame,2007,255.0,I
558,Harvested irrigated temporary crop area: Sesame,2012,255.0,I
559,Harvested irrigated temporary crop area: Sesame,2017,255.0,I
560,Harvested irrigated temporary crop area: Sesame,2018,255.0,I
561,Harvested irrigated temporary crop area: Other crops,2007,6227.0,I
562,Harvested irrigated temporary crop area: Other crops,2012,6227.0,I
563,Harvested irrigated temporary crop area: Other crops,2017,6227.0,I
564,Harvested irrigated temporary crop area: Other crops,2018,6227.0,I
565,Harvested irrigated permanent crop area: Other crops,2007,3000.0,I
566,Harvested irrigated permanent crop area: Other crops,2012,3000.0,I
567,Harvested irrigated permanent crop area: Other crops,2017,3000.0,I
568,Harvested irrigated permanent crop area: Other crops,2018,3000.0,I
