South Africa,Variable Name,Year,Value,Symbol
562,Harvested irrigated permanent crop area: Oil palm,2002,0.0,I
563,Harvested irrigated permanent crop area: Oil palm,2007,0.0,I
564,Harvested irrigated permanent crop area: Oil palm,2012,0.0,I
565,Harvested irrigated permanent crop area: Oil palm,2017,0.0,I
566,Harvested irrigated permanent crop area: Oil palm,2018,0.0,I
567,Harvested irrigated temporary crop area: Soybeans,2002,4.0,I
568,Harvested irrigated temporary crop area: Soybeans,2007,4.0,I
569,Harvested irrigated temporary crop area: Soybeans,2012,4.0,I
570,Harvested irrigated temporary crop area: Soybeans,2017,4.0,I
571,Harvested irrigated temporary crop area: Soybeans,2018,4.0,I
572,Harvested irrigated temporary crop area: Groundnuts,2002,23.6,I
573,Harvested irrigated temporary crop area: Groundnuts,2007,23.6,I
574,Harvested irrigated temporary crop area: Groundnuts,2012,23.6,I
575,Harvested irrigated temporary crop area: Groundnuts,2017,23.6,I
576,Harvested irrigated temporary crop area: Groundnuts,2018,23.6,I
577,Harvested irrigated temporary crop area: Sunflower,2002,15.3215,I
578,Harvested irrigated temporary crop area: Sunflower,2007,9.37525,I
579,Harvested irrigated temporary crop area: Sunflower,2012,8.186,I
580,Harvested irrigated temporary crop area: Sunflower,2017,8.186,I
581,Harvested irrigated temporary crop area: Sunflower,2018,8.186,I
582,Harvested irrigated temporary crop area: Sesame,2002,1.5,I
583,Harvested irrigated temporary crop area: Sesame,2007,1.5,I
584,Harvested irrigated temporary crop area: Sesame,2012,1.5,I
585,Harvested irrigated temporary crop area: Sesame,2017,1.5,I
586,Harvested irrigated temporary crop area: Sesame,2018,1.5,I
587,Harvested irrigated temporary crop area: Other crops,2012,20.14,I
588,Harvested irrigated temporary crop area: Other crops,2017,20.14,I
589,Harvested irrigated temporary crop area: Other crops,2018,20.14,I
590,Harvested irrigated permanent crop area: Other crops,1982,185.39,I
591,Harvested irrigated permanent crop area: Other crops,1987,198.865,I
592,Harvested irrigated permanent crop area: Other crops,1992,212.34,I
593,Harvested irrigated permanent crop area: Other crops,1997,225.815,I
594,Harvested irrigated permanent crop area: Other crops,2002,233.9,I
595,Harvested irrigated permanent crop area: Other crops,2007,233.9,I
596,Harvested irrigated permanent crop area: Other crops,2012,233.9,I
597,Harvested irrigated permanent crop area: Other crops,2017,233.9,I
598,Harvested irrigated permanent crop area: Other crops,2018,233.9,I
