Spain,Variable Name,Year,Value,Symbol
541,Harvested irrigated temporary crop area: Fodder,1992,89.44,I
542,Harvested irrigated temporary crop area: Fodder,1996,88.8,I
543,Harvested irrigated temporary crop area: Fodder,2002,98.2,I
544,Harvested irrigated temporary crop area: Fodder,2007,92.14,I
545,Harvested irrigated temporary crop area: Fodder,2012,88.53,I
546,Harvested irrigated temporary crop area: Fodder,2017,88.53,I
547,Harvested irrigated temporary crop area: Fodder,2018,88.53,I
548,Harvested irrigated temporary crop area: Soybeans,1992,2.4866666667,I
549,Harvested irrigated temporary crop area: Soybeans,1997,2.64,X
550,Harvested irrigated temporary crop area: Soybeans,2002,1.43,I
551,Harvested irrigated temporary crop area: Soybeans,2007,0.19,I
552,Harvested irrigated temporary crop area: Soybeans,2012,0.19,I
553,Harvested irrigated temporary crop area: Soybeans,2017,0.19,I
554,Harvested irrigated temporary crop area: Soybeans,2018,0.19,I
555,Harvested irrigated temporary crop area: Sunflower,1992,298.78,I
556,Harvested irrigated temporary crop area: Sunflower,1997,149.2,X
557,Harvested irrigated temporary crop area: Sunflower,2002,107.5533333333,I
558,Harvested irrigated temporary crop area: Sunflower,2007,75.41,I
559,Harvested irrigated temporary crop area: Sunflower,2012,71.5,I
560,Harvested irrigated temporary crop area: Sunflower,2017,71.5,I
561,Harvested irrigated temporary crop area: Sunflower,2018,71.5,I
562,Harvested irrigated temporary crop area: Flowers,2012,15.87,I
563,Harvested irrigated temporary crop area: Flowers,2017,15.87,I
564,Harvested irrigated temporary crop area: Flowers,2018,15.87,I
565,Harvested irrigated temporary crop area: Other crops,2012,20.23,I
566,Harvested irrigated temporary crop area: Other crops,2017,20.23,I
567,Harvested irrigated temporary crop area: Other crops,2018,20.23,I
568,Harvested irrigated permanent crop area: Other crops,1992,243.3666666667,I
569,Harvested irrigated permanent crop area: Other crops,1997,246.3,X
570,Harvested irrigated permanent crop area: Other crops,2002,252.6,I
571,Harvested irrigated permanent crop area: Other crops,2007,87.5933333333,I
572,Harvested irrigated permanent crop area: Other crops,2012,4.69,I
573,Harvested irrigated permanent crop area: Other crops,2017,4.69,I
574,Harvested irrigated permanent crop area: Other crops,2018,4.69,I
