,,Year,Value,Symbol
Total population with access to safe drinking-water (JMP),Cuba,2007,92.7,X
Total population with access to safe drinking-water (JMP),Cuba,2012,94.1,X
Total population with access to safe drinking-water (JMP),Cuba,2017,94.9,I
Total population with access to safe drinking-water (JMP),Cuba,2018,94.9,I
Population affected by water related disease,Cuba,1997,1033.0,OF
Population affected by water related disease,Cuba,2002,1033.0,I
Population affected by water related disease,Cuba,2007,1033.0,I
Population affected by water related disease,Cuba,2012,1033.0,I
Population affected by water related disease,Cuba,2017,1033.0,I
Population affected by water related disease,Cuba,2018,1033.0,I
Prevalence of undernourishment (3-year average),Cyprus,2017,7.3,X
Prevalence of undernourishment (3-year average),Cyprus,2018,7.1,X
Total population with access to safe drinking-water (JMP),Cyprus,1997,100.0,X
Total population with access to safe drinking-water (JMP),Cyprus,2002,100.0,X
Total population with access to safe drinking-water (JMP),Cyprus,2007,100.0,X
Total population with access to safe drinking-water (JMP),Cyprus,2012,100.0,X
Total population with access to safe drinking-water (JMP),Cyprus,2017,100.0,I
Total population with access to safe drinking-water (JMP),Cyprus,2018,100.0,I
Total population with access to safe drinking-water (JMP),Czechia,1997,99.8,X
Total population with access to safe drinking-water (JMP),Czechia,2002,99.8,X
Total population with access to safe drinking-water (JMP),Czechia,2007,99.9,X
Total population with access to safe drinking-water (JMP),Czechia,2012,100.0,X
Total population with access to safe drinking-water (JMP),Czechia,2017,100.0,I
Total population with access to safe drinking-water (JMP),Czechia,2018,100.0,I
Number of people undernourished (3-year average),Côte d’Ivoire,1997,1700.0,X
Number of people undernourished (3-year average),Côte d’Ivoire,2007,3800.0,X
Prevalence of undernourishment (3-year average),Côte d’Ivoire,1997,11.5,X
Total population with access to safe drinking-water (JMP),Côte d’Ivoire,1997,77.3,X
Total population with access to safe drinking-water (JMP),Côte d’Ivoire,2002,78.5,X
Total population with access to safe drinking-water (JMP),Côte d’Ivoire,2007,79.8,X
Total population with access to safe drinking-water (JMP),Côte d’Ivoire,2012,81.2,X
Total population with access to safe drinking-water (JMP),Côte d’Ivoire,2017,81.9,I
Total population with access to safe drinking-water (JMP),Côte d’Ivoire,2018,81.9,I
Population affected by water related disease,Côte d’Ivoire,1997,1423.0,OF
Population affected by water related disease,Côte d’Ivoire,2002,1423.0,I
Population affected by water related disease,Côte d’Ivoire,2007,1423.0,I
Population affected by water related disease,Côte d’Ivoire,2012,1423.0,I
Population affected by water related disease,Côte d’Ivoire,2017,1423.0,I
Population affected by water related disease,Côte d’Ivoire,2018,1423.0,I
Number of people undernourished (3-year average),Democratic People's Republic of Korea,1997,7600.0,X
Number of people undernourished (3-year average),Democratic People's Republic of Korea,2007,8700.0,X
Prevalence of undernourishment (3-year average),Democratic People's Republic of Korea,1997,34.6,X
Prevalence of undernourishment (3-year average),Democratic People's Republic of Korea,2002,35.7,X
Total population with access to safe drinking-water (JMP),Democratic People's Republic of Korea,1997,99.9,X
Total population with access to safe drinking-water (JMP),Democratic People's Republic of Korea,2002,99.9,X
Total population with access to safe drinking-water (JMP),Democratic People's Republic of Korea,2007,99.8,X
Total population with access to safe drinking-water (JMP),Democratic People's Republic of Korea,2012,99.7,X
Total population with access to safe drinking-water (JMP),Democratic People's Republic of Korea,2017,99.7,I
Total population with access to safe drinking-water (JMP),Democratic People's Republic of Korea,2018,99.7,I
Total population with access to safe drinking-water (JMP),Democratic Republic of the Congo,1997,46.0,X
Total population with access to safe drinking-water (JMP),Democratic Republic of the Congo,2002,47.9,X
Total population with access to safe drinking-water (JMP),Democratic Republic of the Congo,2007,49.7,X
Total population with access to safe drinking-water (JMP),Democratic Republic of the Congo,2012,51.4,X
Total population with access to safe drinking-water (JMP),Democratic Republic of the Congo,2017,52.4,I
Total population with access to safe drinking-water (JMP),Democratic Republic of the Congo,2018,52.4,I
Total population with access to safe drinking-water (JMP),Denmark,1997,100.0,X
Total population with access to safe drinking-water (JMP),Denmark,2002,100.0,X
Total population with access to safe drinking-water (JMP),Denmark,2007,100.0,X
Total population with access to safe drinking-water (JMP),Denmark,2012,100.0,X
Total population with access to safe drinking-water (JMP),Denmark,2017,100.0,I
Total population with access to safe drinking-water (JMP),Denmark,2018,100.0,I
Number of people undernourished (3-year average),Djibouti,1997,500.0,X
Number of people undernourished (3-year average),Djibouti,2002,300.0,X
Number of people undernourished (3-year average),Djibouti,2007,200.0,X
Number of people undernourished (3-year average),Djibouti,2012,200.0,X
Number of people undernourished (3-year average),Djibouti,2017,200.0,X
Number of people undernourished (3-year average),Djibouti,2018,200.0,X
Prevalence of undernourishment (3-year average),Djibouti,1997,68.0,X
Total population with access to safe drinking-water (JMP),Djibouti,1997,80.2,X
Total population with access to safe drinking-water (JMP),Djibouti,2002,83.7,X
Total population with access to safe drinking-water (JMP),Djibouti,2007,87.1,X
Total population with access to safe drinking-water (JMP),Djibouti,2012,89.9,X
Total population with access to safe drinking-water (JMP),Djibouti,2017,90.0,I
Total population with access to safe drinking-water (JMP),Djibouti,2018,90.0,I
Prevalence of undernourishment (3-year average),Dominica,2007,5.0,X
Total population with access to safe drinking-water (JMP),Dominica,1997,94.5,X
Total population with access to safe drinking-water (JMP),Dominica,2002,94.4,X
Total population with access to safe drinking-water (JMP),Dominica,2007,94.4,X
Total population with access to safe drinking-water (JMP),Dominica,2012,94.4,I
Total population with access to safe drinking-water (JMP),Dominica,2017,94.4,I
Total population with access to safe drinking-water (JMP),Dominica,2018,94.4,I
Number of people undernourished (3-year average),Dominican Republic,1997,2200.0,X
Number of people undernourished (3-year average),Dominican Republic,2002,1800.0,X
Number of people undernourished (3-year average),Dominican Republic,2007,1500.0,X
Number of people undernourished (3-year average),Dominican Republic,2012,1000.0,X
Number of people undernourished (3-year average),Dominican Republic,2017,700.0,X
Prevalence of undernourishment (3-year average),Dominican Republic,1997,27.3,X
Total population with access to safe drinking-water (JMP),Dominican Republic,1997,87.0,X
Total population with access to safe drinking-water (JMP),Dominican Republic,2002,86.7,X
Total population with access to safe drinking-water (JMP),Dominican Republic,2007,86.3,X
Total population with access to safe drinking-water (JMP),Dominican Republic,2012,85.4,X
Total population with access to safe drinking-water (JMP),Dominican Republic,2017,84.7,I
Total population with access to safe drinking-water (JMP),Dominican Republic,2018,84.7,I
Number of people undernourished (3-year average),Ecuador,1997,1700.0,X
Number of people undernourished (3-year average),Ecuador,2002,2700.0,X
Number of people undernourished (3-year average),Ecuador,2007,3200.0,X
Prevalence of undernourishment (3-year average),Ecuador,1997,15.1,X
Total population with access to safe drinking-water (JMP),Ecuador,1997,77.9,X
Total population with access to safe drinking-water (JMP),Ecuador,2002,80.8,X
Total population with access to safe drinking-water (JMP),Ecuador,2007,83.3,X
Total population with access to safe drinking-water (JMP),Ecuador,2012,85.9,X
Total population with access to safe drinking-water (JMP),Ecuador,2017,86.9,I
Total population with access to safe drinking-water (JMP),Ecuador,2018,86.9,I
Population affected by water related disease,Ecuador,2002,8.57,I
Population affected by water related disease,Ecuador,2007,8.57,I
Population affected by water related disease,Ecuador,2012,8.57,I
Population affected by water related disease,Ecuador,2017,8.57,I
Population affected by water related disease,Ecuador,2018,8.57,I
Number of people undernourished (3-year average),Egypt,2002,3700.0,X
Number of people undernourished (3-year average),Egypt,2012,4300.0,X
Prevalence of undernourishment (3-year average),Egypt,2012,5.1,X
Total population with access to safe drinking-water (JMP),Egypt,1997,95.1,X
Total population with access to safe drinking-water (JMP),Egypt,2002,96.4,X
Total population with access to safe drinking-water (JMP),Egypt,2007,97.6,X
Total population with access to safe drinking-water (JMP),Egypt,2012,98.8,X
Total population with access to safe drinking-water (JMP),Egypt,2017,99.4,I
Total population with access to safe drinking-water (JMP),Egypt,2018,99.4,I
Number of people undernourished (3-year average),El Salvador,1997,900.0,X
Number of people undernourished (3-year average),El Salvador,2002,400.0,X
Number of people undernourished (3-year average),El Salvador,2007,600.0,X
Number of people undernourished (3-year average),El Salvador,2012,700.0,X
Number of people undernourished (3-year average),El Salvador,2017,600.0,X
Number of people undernourished (3-year average),El Salvador,2018,600.0,X
Prevalence of undernourishment (3-year average),El Salvador,1997,15.4,X
Total population with access to safe drinking-water (JMP),El Salvador,1997,78.6,X
Total population with access to safe drinking-water (JMP),El Salvador,2002,83.4,X
Total population with access to safe drinking-water (JMP),El Salvador,2007,87.7,X
Total population with access to safe drinking-water (JMP),El Salvador,2012,91.6,X
Total population with access to safe drinking-water (JMP),El Salvador,2017,93.8,I
Total population with access to safe drinking-water (JMP),El Salvador,2018,93.8,I
Population affected by water related disease,El Salvador,1997,12.0,I
Population affected by water related disease,El Salvador,2002,12.0,I
Population affected by water related disease,El Salvador,2007,12.0,I
Population affected by water related disease,El Salvador,2012,12.0,I
Population affected by water related disease,El Salvador,2017,12.0,I
Population affected by water related disease,El Salvador,2018,12.0,I
Total population with access to safe drinking-water (JMP),Equatorial Guinea,1997,47.3,X
Total population with access to safe drinking-water (JMP),Equatorial Guinea,2002,47.3,X
Total population with access to safe drinking-water (JMP),Equatorial Guinea,2007,47.4,X
Total population with access to safe drinking-water (JMP),Equatorial Guinea,2012,47.7,X
Total population with access to safe drinking-water (JMP),Equatorial Guinea,2017,47.9,I
Total population with access to safe drinking-water (JMP),Equatorial Guinea,2018,47.9,I
Total population with access to safe drinking-water (JMP),Eritrea,1997,49.4,X
Total population with access to safe drinking-water (JMP),Eritrea,2002,52.1,X
Total population with access to safe drinking-water (JMP),Eritrea,2007,54.8,X
Total population with access to safe drinking-water (JMP),Eritrea,2012,57.5,X
Total population with access to safe drinking-water (JMP),Eritrea,2017,57.8,I
Total population with access to safe drinking-water (JMP),Eritrea,2018,57.8,I
Prevalence of undernourishment (3-year average),Estonia,2002,3.6,X
Prevalence of undernourishment (3-year average),Estonia,2007,3.7,X
Prevalence of undernourishment (3-year average),Estonia,2012,2.7,X
Prevalence of undernourishment (3-year average),Estonia,2017,2.9,X
Prevalence of undernourishment (3-year average),Estonia,2018,2.9,X
Total population with access to safe drinking-water (JMP),Estonia,1997,98.9,X
Total population with access to safe drinking-water (JMP),Estonia,2002,99.1,X
Total population with access to safe drinking-water (JMP),Estonia,2007,99.3,X
Total population with access to safe drinking-water (JMP),Estonia,2012,99.5,X
Total population with access to safe drinking-water (JMP),Estonia,2017,99.6,I
Total population with access to safe drinking-water (JMP),Estonia,2018,99.6,I
Number of people undernourished (3-year average),Eswatini,1997,200.0,X
Number of people undernourished (3-year average),Eswatini,2002,100.0,X
Number of people undernourished (3-year average),Eswatini,2007,100.0,X
Prevalence of undernourishment (3-year average),Eswatini,1997,21.7,X
Total population with access to safe drinking-water (JMP),Eswatini,1997,46.5,X
Total population with access to safe drinking-water (JMP),Eswatini,2002,55.6,X
Total population with access to safe drinking-water (JMP),Eswatini,2007,64.8,X
Total population with access to safe drinking-water (JMP),Eswatini,2012,74.2,X
Total population with access to safe drinking-water (JMP),Eswatini,2017,74.1,I
Total population with access to safe drinking-water (JMP),Eswatini,2018,74.1,I
Population affected by water related disease,Eswatini,2002,2.926,I
Population affected by water related disease,Eswatini,2007,2.926,I
Population affected by water related disease,Eswatini,2012,2.926,I
Population affected by water related disease,Eswatini,2017,2.926,I
Population affected by water related disease,Eswatini,2018,2.926,I
Number of people undernourished (3-year average),Ethiopia,1997,40600.0,X
Prevalence of undernourishment (3-year average),Ethiopia,1997,69.0,X
Total population with access to safe drinking-water (JMP),Ethiopia,1997,23.3,X
Total population with access to safe drinking-water (JMP),Ethiopia,2002,32.7,X
Total population with access to safe drinking-water (JMP),Ethiopia,2007,42.0,X
Total population with access to safe drinking-water (JMP),Ethiopia,2012,51.6,X
Total population with access to safe drinking-water (JMP),Ethiopia,2017,57.3,I
Total population with access to safe drinking-water (JMP),Ethiopia,2018,57.3,I
Prevalence of undernourishment (3-year average),Fiji,1997,5.4,X
Prevalence of undernourishment (3-year average),Fiji,2002,4.0,X
Prevalence of undernourishment (3-year average),Fiji,2012,3.8,X
Total population with access to safe drinking-water (JMP),Fiji,1997,89.3,X
Total population with access to safe drinking-water (JMP),Fiji,2002,91.6,X
Total population with access to safe drinking-water (JMP),Fiji,2007,93.8,X
Total population with access to safe drinking-water (JMP),Fiji,2012,95.6,X
Total population with access to safe drinking-water (JMP),Fiji,2017,95.7,I
Total population with access to safe drinking-water (JMP),Fiji,2018,95.7,I
Total population with access to safe drinking-water (JMP),Finland,1997,100.0,X
Total population with access to safe drinking-water (JMP),Finland,2002,100.0,X
Total population with access to safe drinking-water (JMP),Finland,2007,100.0,X
Total population with access to safe drinking-water (JMP),Finland,2012,100.0,X
Total population with access to safe drinking-water (JMP),Finland,2017,100.0,I
Total population with access to safe drinking-water (JMP),Finland,2018,100.0,I
Total population with access to safe drinking-water (JMP),France,1997,100.0,X
Total population with access to safe drinking-water (JMP),France,2002,100.0,X
Total population with access to safe drinking-water (JMP),France,2007,100.0,X
Total population with access to safe drinking-water (JMP),France,2012,100.0,X
Total population with access to safe drinking-water (JMP),France,2017,100.0,I
Total population with access to safe drinking-water (JMP),France,2018,100.0,I
Number of people undernourished (3-year average),Gabon,1997,100.0,I
Number of people undernourished (3-year average),Gabon,2002,100.0,X
Number of people undernourished (3-year average),Gabon,2007,200.0,X
Number of people undernourished (3-year average),Gabon,2012,300.0,X
Number of people undernourished (3-year average),Gabon,2017,300.0,X
Number of people undernourished (3-year average),Gabon,2018,300.0,X
Prevalence of undernourishment (3-year average),Gabon,1997,8.5,X
Total population with access to safe drinking-water (JMP),Gabon,1997,81.2,X
Total population with access to safe drinking-water (JMP),Gabon,2002,85.6,X
Total population with access to safe drinking-water (JMP),Gabon,2007,89.3,X
Total population with access to safe drinking-water (JMP),Gabon,2012,92.2,X
Total population with access to safe drinking-water (JMP),Gabon,2017,93.2,I
Total population with access to safe drinking-water (JMP),Gabon,2018,93.2,I
Number of people undernourished (3-year average),Gambia,1997,200.0,X
Number of people undernourished (3-year average),Gambia,2002,200.0,X
Number of people undernourished (3-year average),Gambia,2007,300.0,X
Number of people undernourished (3-year average),Gambia,2012,200.0,X
Number of people undernourished (3-year average),Gambia,2017,300.0,X
Number of people undernourished (3-year average),Gambia,2018,300.0,X
Prevalence of undernourishment (3-year average),Gambia,1997,17.6,X
Total population with access to safe drinking-water (JMP),Gambia,1997,80.7,X
Total population with access to safe drinking-water (JMP),Gambia,2002,84.0,X
Total population with access to safe drinking-water (JMP),Gambia,2007,87.1,X
Total population with access to safe drinking-water (JMP),Gambia,2012,90.1,X
Total population with access to safe drinking-water (JMP),Gambia,2017,90.2,I
Total population with access to safe drinking-water (JMP),Gambia,2018,90.2,I
Number of people undernourished (3-year average),Georgia,1997,1500.0,X
Number of people undernourished (3-year average),Georgia,2002,300.0,X
Number of people undernourished (3-year average),Georgia,2007,200.0,X
Number of people undernourished (3-year average),Georgia,2012,200.0,X
Number of people undernourished (3-year average),Georgia,2018,300.0,X
Prevalence of undernourishment (3-year average),Georgia,1997,29.4,X
Prevalence of undernourishment (3-year average),Georgia,2012,4.6,X
Total population with access to safe drinking-water (JMP),Georgia,1997,87.2,X
Total population with access to safe drinking-water (JMP),Georgia,2002,90.8,X
Total population with access to safe drinking-water (JMP),Georgia,2007,94.6,X
Total population with access to safe drinking-water (JMP),Georgia,2012,98.3,X
Total population with access to safe drinking-water (JMP),Georgia,2017,100.0,I
Total population with access to safe drinking-water (JMP),Georgia,2018,100.0,I
Total population with access to safe drinking-water (JMP),Germany,1997,100.0,X
Total population with access to safe drinking-water (JMP),Germany,2002,100.0,X
Total population with access to safe drinking-water (JMP),Germany,2007,100.0,X
Total population with access to safe drinking-water (JMP),Germany,2012,100.0,X
Total population with access to safe drinking-water (JMP),Germany,2017,100.0,I
Total population with access to safe drinking-water (JMP),Germany,2018,100.0,I
Number of people undernourished (3-year average),Ghana,1997,3800.0,X
Number of people undernourished (3-year average),Ghana,2007,2400.0,X
Number of people undernourished (3-year average),Ghana,2012,1700.0,X
Prevalence of undernourishment (3-year average),Ghana,1997,22.3,X
Total population with access to safe drinking-water (JMP),Ghana,1997,66.2,X
Total population with access to safe drinking-water (JMP),Ghana,2002,73.1,X
Total population with access to safe drinking-water (JMP),Ghana,2007,79.5,X
Total population with access to safe drinking-water (JMP),Ghana,2012,85.4,X
Total population with access to safe drinking-water (JMP),Ghana,2017,88.7,I
Total population with access to safe drinking-water (JMP),Ghana,2018,88.7,I
Total population with access to safe drinking-water (JMP),Greece,1997,98.5,X
Total population with access to safe drinking-water (JMP),Greece,2002,99.1,X
Total population with access to safe drinking-water (JMP),Greece,2007,99.7,X
Total population with access to safe drinking-water (JMP),Greece,2012,100.0,X
Total population with access to safe drinking-water (JMP),Greece,2017,100.0,I
Total population with access to safe drinking-water (JMP),Greece,2018,100.0,I
Total population with access to safe drinking-water (JMP),Grenada,1997,96.6,X
Total population with access to safe drinking-water (JMP),Grenada,2002,96.6,X
Total population with access to safe drinking-water (JMP),Grenada,2007,96.6,X
Total population with access to safe drinking-water (JMP),Grenada,2012,96.6,X
Total population with access to safe drinking-water (JMP),Grenada,2017,96.6,I
Total population with access to safe drinking-water (JMP),Grenada,2018,96.6,I
Number of people undernourished (3-year average),Guatemala,1997,1700.0,X
Number of people undernourished (3-year average),Guatemala,2007,2400.0,X
Number of people undernourished (3-year average),Guatemala,2017,2700.0,X
Prevalence of undernourishment (3-year average),Guatemala,1997,17.1,X
Total population with access to safe drinking-water (JMP),Guatemala,1997,81.7,X
Total population with access to safe drinking-water (JMP),Guatemala,2002,85.2,X
Total population with access to safe drinking-water (JMP),Guatemala,2007,88.7,X
Total population with access to safe drinking-water (JMP),Guatemala,2012,92.0,X
Total population with access to safe drinking-water (JMP),Guatemala,2017,92.8,I
Total population with access to safe drinking-water (JMP),Guatemala,2018,92.8,I
Population affected by water related disease,Guatemala,1997,1880.0,I
Population affected by water related disease,Guatemala,2002,1880.0,I
Population affected by water related disease,Guatemala,2007,1880.0,I
Population affected by water related disease,Guatemala,2012,1880.0,I
Population affected by water related disease,Guatemala,2017,1880.0,I
Population affected by water related disease,Guatemala,2018,1880.0,I
Number of people undernourished (3-year average),Guinea,1997,2000.0,X
Number of people undernourished (3-year average),Guinea,2002,2300.0,X
Number of people undernourished (3-year average),Guinea,2007,2000.0,X
Number of people undernourished (3-year average),Guinea,2012,1900.0,X
Number of people undernourished (3-year average),Guinea,2017,1900.0,X
Number of people undernourished (3-year average),Guinea,2018,2100.0,X
Prevalence of undernourishment (3-year average),Guinea,1997,25.1,X
Prevalence of undernourishment (3-year average),Guinea,2002,25.5,X
Prevalence of undernourishment (3-year average),Guinea,2007,20.2,X
Prevalence of undernourishment (3-year average),Guinea,2012,17.2,X
Prevalence of undernourishment (3-year average),Guinea,2017,15.5,X
Prevalence of undernourishment (3-year average),Guinea,2018,16.5,X
Total population with access to safe drinking-water (JMP),Guinea,1997,59.6,X
Total population with access to safe drinking-water (JMP),Guinea,2002,64.8,X
Total population with access to safe drinking-water (JMP),Guinea,2007,69.8,X
Total population with access to safe drinking-water (JMP),Guinea,2012,74.8,X
Total population with access to safe drinking-water (JMP),Guinea,2017,76.8,I
Total population with access to safe drinking-water (JMP),Guinea,2018,76.8,I
Number of people undernourished (3-year average),Guinea-Bissau,1997,300.0,X
Number of people undernourished (3-year average),Guinea-Bissau,2002,300.0,X
Number of people undernourished (3-year average),Guinea-Bissau,2007,300.0,X
Number of people undernourished (3-year average),Guinea-Bissau,2012,400.0,X
Number of people undernourished (3-year average),Guinea-Bissau,2017,500.0,X
Number of people undernourished (3-year average),Guinea-Bissau,2018,500.0,X
Prevalence of undernourishment (3-year average),Guinea-Bissau,1997,22.5,X
Prevalence of undernourishment (3-year average),Guinea-Bissau,2002,24.4,X
Prevalence of undernourishment (3-year average),Guinea-Bissau,2007,24.1,X
Prevalence of undernourishment (3-year average),Guinea-Bissau,2012,22.2,X
Prevalence of undernourishment (3-year average),Guinea-Bissau,2017,27.4,X
Prevalence of undernourishment (3-year average),Guinea-Bissau,2018,28.0,X
Total population with access to safe drinking-water (JMP),Guinea-Bissau,1997,47.1,X
Total population with access to safe drinking-water (JMP),Guinea-Bissau,2002,55.5,X
Total population with access to safe drinking-water (JMP),Guinea-Bissau,2007,64.3,X
Total population with access to safe drinking-water (JMP),Guinea-Bissau,2012,73.6,X
Total population with access to safe drinking-water (JMP),Guinea-Bissau,2017,79.3,I
Total population with access to safe drinking-water (JMP),Guinea-Bissau,2018,79.3,I
Number of people undernourished (3-year average),Guyana,1997,100.0,X
Number of people undernourished (3-year average),Guyana,2002,100.0,I
Number of people undernourished (3-year average),Guyana,2007,100.0,I
Number of people undernourished (3-year average),Guyana,2012,100.0,I
Number of people undernourished (3-year average),Guyana,2017,100.0,I
Number of people undernourished (3-year average),Guyana,2018,100.0,I
Prevalence of undernourishment (3-year average),Guyana,1997,14.6,X
Prevalence of undernourishment (3-year average),Guyana,2018,6.0,X
Total population with access to safe drinking-water (JMP),Guyana,1997,83.9,X
Total population with access to safe drinking-water (JMP),Guyana,2002,87.8,X
Total population with access to safe drinking-water (JMP),Guyana,2007,91.8,X
Total population with access to safe drinking-water (JMP),Guyana,2012,95.9,X
Total population with access to safe drinking-water (JMP),Guyana,2017,98.3,I
Total population with access to safe drinking-water (JMP),Guyana,2018,98.3,I
Number of people undernourished (3-year average),Haiti,1997,4900.0,X
Number of people undernourished (3-year average),Haiti,2002,4600.0,X
Number of people undernourished (3-year average),Haiti,2007,5100.0,X
Number of people undernourished (3-year average),Haiti,2018,5300.0,X
Prevalence of undernourishment (3-year average),Haiti,1997,61.4,X
Prevalence of undernourishment (3-year average),Haiti,2002,53.2,X
Prevalence of undernourishment (3-year average),Haiti,2007,54.2,X
Total population with access to safe drinking-water (JMP),Haiti,1997,61.7,X
Total population with access to safe drinking-water (JMP),Haiti,2002,60.8,X
Total population with access to safe drinking-water (JMP),Haiti,2007,60.2,X
Total population with access to safe drinking-water (JMP),Haiti,2012,58.5,X
Total population with access to safe drinking-water (JMP),Haiti,2017,57.7,I
Total population with access to safe drinking-water (JMP),Haiti,2018,57.7,I
Number of people undernourished (3-year average),Honduras,1997,1100.0,X
Number of people undernourished (3-year average),Honduras,2002,1500.0,X
Number of people undernourished (3-year average),Honduras,2007,1700.0,X
Number of people undernourished (3-year average),Honduras,2017,1300.0,X
Prevalence of undernourishment (3-year average),Honduras,1997,19.8,X
Total population with access to safe drinking-water (JMP),Honduras,1997,78.6,X
Total population with access to safe drinking-water (JMP),Honduras,2002,82.3,X
Total population with access to safe drinking-water (JMP),Honduras,2007,85.9,X
Total population with access to safe drinking-water (JMP),Honduras,2012,89.3,X
Total population with access to safe drinking-water (JMP),Honduras,2017,91.2,I
Total population with access to safe drinking-water (JMP),Honduras,2018,91.2,I
Total population with access to safe drinking-water (JMP),Hungary,1997,97.5,X
Total population with access to safe drinking-water (JMP),Hungary,2002,98.6,X
Total population with access to safe drinking-water (JMP),Hungary,2007,99.7,X
Total population with access to safe drinking-water (JMP),Hungary,2012,100.0,X
Total population with access to safe drinking-water (JMP),Hungary,2017,100.0,I
Total population with access to safe drinking-water (JMP),Hungary,2018,100.0,I
Total population with access to safe drinking-water (JMP),Iceland,1997,100.0,X
Total population with access to safe drinking-water (JMP),Iceland,2002,100.0,X
Total population with access to safe drinking-water (JMP),Iceland,2007,100.0,X
Total population with access to safe drinking-water (JMP),Iceland,2012,100.0,X
Total population with access to safe drinking-water (JMP),Iceland,2017,100.0,I
Total population with access to safe drinking-water (JMP),Iceland,2018,100.0,I
Number of people undernourished (3-year average),India,1997,199100.0,X
Prevalence of undernourishment (3-year average),India,1997,20.5,X
Total population with access to safe drinking-water (JMP),India,1997,77.6,X
Total population with access to safe drinking-water (JMP),India,2002,82.5,X
Total population with access to safe drinking-water (JMP),India,2007,87.4,X
Total population with access to safe drinking-water (JMP),India,2012,92.2,X
Total population with access to safe drinking-water (JMP),India,2017,94.1,I
Total population with access to safe drinking-water (JMP),India,2018,94.1,I
Population affected by water related disease,India,1997,34239.5,I
Population affected by water related disease,India,2002,44000.0,I
Population affected by water related disease,India,2007,44000.0,I
Population affected by water related disease,India,2012,44000.0,I
Population affected by water related disease,India,2017,44000.0,I
Population affected by water related disease,India,2018,44000.0,I
Number of people undernourished (3-year average),Indonesia,1997,28800.0,X
Prevalence of undernourishment (3-year average),Indonesia,1997,14.6,X
Total population with access to safe drinking-water (JMP),Indonesia,1997,75.4,X
Total population with access to safe drinking-water (JMP),Indonesia,2002,79.3,X
Total population with access to safe drinking-water (JMP),Indonesia,2007,82.6,X
Total population with access to safe drinking-water (JMP),Indonesia,2012,85.7,X
Total population with access to safe drinking-water (JMP),Indonesia,2017,87.4,I
Total population with access to safe drinking-water (JMP),Indonesia,2018,87.4,I
Population affected by water related disease,Indonesia,2007,5.111,I
Population affected by water related disease,Indonesia,2012,5.111,I
Population affected by water related disease,Indonesia,2017,5.111,I
Population affected by water related disease,Indonesia,2018,5.111,I
Number of people undernourished (3-year average),Iran (Islamic Republic of),1997,3122.2222222222,I
Number of people undernourished (3-year average),Iran (Islamic Republic of),2002,3200.0,X
Number of people undernourished (3-year average),Iran (Islamic Republic of),2007,3900.0,X
Number of people undernourished (3-year average),Iran (Islamic Republic of),2017,3900.0,X
Prevalence of undernourishment (3-year average),Iran (Islamic Republic of),1997,4.9888888889,I
Prevalence of undernourishment (3-year average),Iran (Islamic Republic of),2002,4.8,X
Prevalence of undernourishment (3-year average),Iran (Islamic Republic of),2007,5.5,X
Prevalence of undernourishment (3-year average),Iran (Islamic Republic of),2017,4.9,X
Total population with access to safe drinking-water (JMP),Iran (Islamic Republic of),1997,93.5,X
Total population with access to safe drinking-water (JMP),Iran (Islamic Republic of),2002,94.5,X
Total population with access to safe drinking-water (JMP),Iran (Islamic Republic of),2007,95.4,X
Total population with access to safe drinking-water (JMP),Iran (Islamic Republic of),2012,96.0,X
Total population with access to safe drinking-water (JMP),Iran (Islamic Republic of),2017,96.2,I
Total population with access to safe drinking-water (JMP),Iran (Islamic Republic of),2018,96.2,I
Number of people undernourished (3-year average),Iraq,1997,4800.0,X
Number of people undernourished (3-year average),Iraq,2007,6900.0,X
Prevalence of undernourishment (3-year average),Iraq,1997,22.6,X
Total population with access to safe drinking-water (JMP),Iraq,1997,78.9,X
Total population with access to safe drinking-water (JMP),Iraq,2002,81.3,X
Total population with access to safe drinking-water (JMP),Iraq,2007,83.7,X
Total population with access to safe drinking-water (JMP),Iraq,2012,86.1,X
Total population with access to safe drinking-water (JMP),Iraq,2017,86.6,I
Total population with access to safe drinking-water (JMP),Iraq,2018,86.6,I
Total population with access to safe drinking-water (JMP),Ireland,1997,96.3,X
Total population with access to safe drinking-water (JMP),Ireland,2002,96.6,X
Total population with access to safe drinking-water (JMP),Ireland,2007,97.1,X
Total population with access to safe drinking-water (JMP),Ireland,2012,97.7,X
Total population with access to safe drinking-water (JMP),Ireland,2017,97.9,I
Total population with access to safe drinking-water (JMP),Ireland,2018,97.9,I
Total population with access to safe drinking-water (JMP),Israel,1997,100.0,X
Total population with access to safe drinking-water (JMP),Israel,2002,100.0,X
Total population with access to safe drinking-water (JMP),Israel,2007,100.0,X
Total population with access to safe drinking-water (JMP),Israel,2012,100.0,X
Total population with access to safe drinking-water (JMP),Israel,2017,100.0,I
Total population with access to safe drinking-water (JMP),Israel,2018,100.0,I
Total population with access to safe drinking-water (JMP),Italy,1997,100.0,X
Total population with access to safe drinking-water (JMP),Italy,2002,100.0,X
Total population with access to safe drinking-water (JMP),Italy,2007,100.0,X
Total population with access to safe drinking-water (JMP),Italy,2012,100.0,X
Total population with access to safe drinking-water (JMP),Italy,2017,100.0,I
Total population with access to safe drinking-water (JMP),Italy,2018,100.0,I
Number of people undernourished (3-year average),Jamaica,1997,200.0,X
Number of people undernourished (3-year average),Jamaica,2002,200.0,X
Number of people undernourished (3-year average),Jamaica,2007,200.0,X
